('student_no::', 291, ':::company_alloted::', 94, ':::index in pref list:::', 44, ':::summing:::', 8364)
('student_no::', 375, ':::company_alloted::', 94, ':::index in pref list:::', 70, ':::summing:::', 8434)
('student_no::', 165, ':::company_alloted::', 94, ':::index in pref list:::', 48, ':::summing:::', 8482)
('student_no::', 342, ':::company_alloted::', 94, ':::index in pref list:::', 48, ':::summing:::', 8530)
('student_no::', 234, ':::company_alloted::', 94, ':::index in pref list:::', 59, ':::summing:::', 8589)
('student_no::', 636, ':::company_alloted::', 151, ':::index in pref list:::', 78, ':::summing:::', 8667)
('student_no::', 657, ':::company_alloted::', 151, ':::index in pref list:::', 48, ':::summing:::', 8715)
('student_no::', 404, ':::company_alloted::', 151, ':::index in pref list:::', 73, ':::summing:::', 8788)
('student_no::', 209, ':::company_alloted::', 151, ':::index in pref list:::', 41, ':::summing:::', 8829)
('student_no::', 438, ':::company_alloted::', 151, ':::index in pref list:::', 47, ':::summing:::', 8876)
('student_no::', 877, ':::company_alloted::', 167, ':::index in pref list:::', 76, ':::summing:::', 8952)
('student_no::', 468, ':::company_alloted::', 167, ':::index in pref list:::', 77, ':::summing:::', 9029)
('student_no::', 334, ':::company_alloted::', 167, ':::index in pref list:::', 64, ':::summing:::', 9093)
('student_no::', 494, ':::company_alloted::', 167, ':::index in pref list:::', 66, ':::summing:::', 9159)
('student_no::', 318, ':::company_alloted::', 167, ':::index in pref list:::', 42, ':::summing:::', 9201)
('student_no::', 511, ':::company_alloted::', 98, ':::index in pref list:::', 50, ':::summing:::', 9251)
