('student_no::', 440, ':::company_alloted::', 22, ':::index in pref list:::', 8, ':::summing:::', 12303)
('student_no::', 756, ':::company_alloted::', 96, ':::index in pref list:::', 153, ':::summing:::', 12456)
('student_no::', 45, ':::company_alloted::', 96, ':::index in pref list:::', 40, ':::summing:::', 12496)
('student_no::', 824, ':::company_alloted::', 96, ':::index in pref list:::', 100, ':::summing:::', 12596)
('student_no::', 32, ':::company_alloted::', 96, ':::index in pref list:::', 21, ':::summing:::', 12617)
('student_no::', 359, ':::company_alloted::', 96, ':::index in pref list:::', 0, ':::summing:::', 12617)
('student_no::', 252, ':::company_alloted::', 115, ':::index in pref list:::', 51, ':::summing:::', 12668)
('student_no::', 228, ':::company_alloted::', 115, ':::index in pref list:::', 19, ':::summing:::', 12687)
('student_no::', 199, ':::company_alloted::', 115, ':::index in pref list:::', 134, ':::summing:::', 12821)
('student_no::', 165, ':::company_alloted::', 115, ':::index in pref list:::', 161, ':::summing:::', 12982)
('student_no::', 190, ':::company_alloted::', 115, ':::index in pref list:::', 29, ':::summing:::', 13011)
('student_no::', 392, ':::company_alloted::', 98, ':::index in pref list:::', 132, ':::summing:::', 13143)
('student_no::', 619, ':::company_alloted::', 98, ':::index in pref list:::', 11, ':::summing:::', 13154)
('student_no::', 447, ':::company_alloted::', 98, ':::index in pref list:::', 105, ':::summing:::', 13259)
('student_no::', 16, ':::company_alloted::', 98, ':::index in pref list:::', 4, ':::summing:::', 13263)
('student_no::', 436, ':::company_alloted::', 98, ':::index in pref list:::', 146, ':::summing:::', 13409)
('student_no::', 748, ':::company_alloted::', 178, ':::index in pref list:::', 145, ':::summing:::', 13554)
('student_no::', 642, ':::company_alloted::', 178, ':::index in pref list:::', 151, ':::summing:::', 13705)
('student_no::', 531, ':::company_alloted::', 178, ':::index in pref list:::', 0, ':::summing:::', 13705)
('student_no::', 811, ':::company_alloted::', 178, ':::index in pref list:::', 7, ':::summing:::', 13712)
('student_no::', 983, ':::company_alloted::', 178, ':::index in pref list:::', 10, ':::summing:::', 13722)
('student_no::', 524, ':::company_alloted::', 182, ':::index in pref list:::', 4, ':::summing:::', 13726)
('student_no::', 258, ':::company_alloted::', 182, ':::index in pref list:::', 0, ':::summing:::', 13726)
('student_no::', 34, ':::company_alloted::', 182, ':::index in pref list:::', 3, ':::summing:::', 13729)
('student_no::', 892, ':::company_alloted::', 182, ':::index in pref list:::', 2, ':::summing:::', 13731)
('student_no::', 379, ':::company_alloted::', 182, ':::index in pref list:::', 66, ':::summing:::', 13797)
('student_no::', 429, ':::company_alloted::', 14, ':::index in pref list:::', 4, ':::summing:::', 13801)
('student_no::', 879, ':::company_alloted::', 14, ':::index in pref list:::', 0, ':::summing:::', 13801)
('student_no::', 140, ':::company_alloted::', 14, ':::index in pref list:::', 148, ':::summing:::', 13949)
('student_no::', 289, ':::company_alloted::', 14, ':::index in pref list:::', 0, ':::summing:::', 13949)
('student_no::', 738, ':::company_alloted::', 14, ':::index in pref list:::', 172, ':::summing:::', 14121)
('student_no::', 460, ':::company_alloted::', 78, ':::index in pref list:::', 162, ':::summing:::', 14283)
('student_no::', 318, ':::company_alloted::', 78, ':::index in pref list:::', 23, ':::summing:::', 14306)
('student_no::', 264, ':::company_alloted::', 78, ':::index in pref list:::', 129, ':::summing:::', 14435)
('student_no::', 159, ':::company_alloted::', 78, ':::index in pref list:::', 0, ':::summing:::', 14435)
('student_no::', 383, ':::company_alloted::', 78, ':::index in pref list:::', 61, ':::summing:::', 14496)
('student_no::', 476, ':::company_alloted::', 100, ':::index in pref list:::', 2, ':::summing:::', 14498)
('student_no::', 783, ':::company_alloted::', 100, ':::index in pref list:::', 93, ':::summing:::', 14591)
('student_no::', 519, ':::company_alloted::', 100, ':::index in pref list:::', 139, ':::summing:::', 14730)
('student_no::', 479, ':::company_alloted::', 100, ':::index in pref list:::', 2, ':::summing:::', 14732)
('student_no::', 557, ':::company_alloted::', 100, ':::index in pref list:::', 90, ':::summing:::', 14822)
('student_no::', 540, ':::company_alloted::', 102, ':::index in pref list:::', 0, ':::summing:::', 14822)
('student_no::', 785, ':::company_alloted::', 102, ':::index in pref list:::', 71, ':::summing:::', 14893)
('student_no::', 419, ':::company_alloted::', 102, ':::index in pref list:::', 2, ':::summing:::', 14895)
('student_no::', 670, ':::company_alloted::', 102, ':::index in pref list:::', 1, ':::summing:::', 14896)
('student_no::', 860, ':::company_alloted::', 102, ':::index in pref list:::', 92, ':::summing:::', 14988)
('student_no::', 543, ':::company_alloted::', 127, ':::index in pref list:::', 4, ':::summing:::', 14992)
('student_no::', 750, ':::company_alloted::', 127, ':::index in pref list:::', 23, ':::summing:::', 15015)
('student_no::', 350, ':::company_alloted::', 127, ':::index in pref list:::', 6, ':::summing:::', 15021)
('student_no::', 271, ':::company_alloted::', 127, ':::index in pref list:::', 1, ':::summing:::', 15022)
('student_no::', 380, ':::company_alloted::', 127, ':::index in pref list:::', 12, ':::summing:::', 15034)
('student_no::', 635, ':::company_alloted::', 172, ':::index in pref list:::', 0, ':::summing:::', 15034)
('student_no::', 43, ':::company_alloted::', 172, ':::index in pref list:::', 47, ':::summing:::', 15081)
('student_no::', 108, ':::company_alloted::', 172, ':::index in pref list:::', 1, ':::summing:::', 15082)
('student_no::', 955, ':::company_alloted::', 172, ':::index in pref list:::', 1, ':::summing:::', 15083)
('student_no::', 277, ':::company_alloted::', 172, ':::index in pref list:::', 166, ':::summing:::', 15249)
('student_no::', 299, ':::company_alloted::', 58, ':::index in pref list:::', 0, ':::summing:::', 15249)
('student_no::', 523, ':::company_alloted::', 58, ':::index in pref list:::', 3, ':::summing:::', 15252)
('student_no::', 604, ':::company_alloted::', 58, ':::index in pref list:::', 161, ':::summing:::', 15413)
('student_no::', 868, ':::company_alloted::', 58, ':::index in pref list:::', 1, ':::summing:::', 15414)
